ArticleID,ID,Kommentar,Titel,Text
Donated_20Min_None_17322337_1,Donated_20Min_111602,"Ist ja ganz einfach, den Spiess umzudrehen. Wenn man sich als Autofahrer nicht an die Regeln hält (Sicherheitsabstand beim Überholen z.B.), dann sind ja die Velofahrer Schuld, weil sie so kühn sind und es wagen, überhaupt auf der Strasse zu fahren. Egoistischer geht wohl kaum.",«Mit einem Velostreifen wäre das nicht passiert»,"Am Mittwoch starb der Basler Umweltaktivist Martin Vosseler bei einem tragischen Verkehrsunfall. Aus noch ungeklärten Gründen stürzte er in der Austrasse mit dem Velo und geriet unter die Hinterachse eines vorbeifahrenden Lastwagens. Umfrage Fühlen Sie sich als Velofahrer auf den Strassen manchmal auch eingeengt? Ja, vor allem zwischen den Tramschienen und den parkierten Autos. Ja, wegen dem fahre ich auch nicht an allen Orten Velo. Nein, ich fühle mich immer sicher. Ich fahre nicht Velo. Schon vor diesem Unfall machten sich Anwohner der von Trams, Autos und Velos befahrenen Austrasse Sorgen um die Sicherheit der Velofahrer. Denn den Zweirädern bleibe neben den Tramschienen, den parkierten Autos und dem fahrenden Verkehr kaum Platz, um auszuweichen.Auch Alt-Grossrat Atilla Toptas, dessen Psychotherapie-Praxis sich in der Strasse befindet, kritisiert die Verkehrssituation. «Aus eigener Erfahrung kann ich sagen, dass man als Velofahrer Angst, fast schon Panik hat, hier zu fahren. Viele der Autos überholen einen, auch wenn sie das nicht dürfen.» Aber auch sonst sei es ein unangenehmes Gefühl, wenn ein Fahrzeug hinter einem sei und man eingeengt zwischen Tramgleisen und parkierten Autos fahren müsse.Vosseler engagierte sich für Velowege«Mit einem Veloweg wäre das wohl nicht passiert», ist sich Martin Forter, Geschäftsführer der Ärztinnen und Ärzte für Umweltschutz, sicher. Die Organisation wurde 1987 von Martin Vosseler mitgegründet. «Ich wurde wütend, als ich vom Unfall hörte», sagt Forter. Noch bevor er gewusst habe, wer das Opfer sei, wie er betont. Die gefährlich engen Verhältnisse in der Austrasse seien bekannt. «Man dürfte erwarten, dass die Stadt nun endlich etwas unternimmt. Die Veloinfrastruktur in Basel ist teils gefährlich schlecht», sagt er.Das wäre wohl auch in Vosselers Sinn. «Velowege waren ein wichtiges Anliegen für ihn», so Forter. Schliesslich vereine Velofahren Bewegung, Gesundheit und Klimaschutz. «Abstand zu halten, ist in solchen Strassen unmöglich»Roland Chrétien, Geschäftsführer Pro Velo beider Basel, bestätigt die Problematik. Jedoch sei die Austrasse nicht die einzige Strasse mit diesem Problem. «Leider gibt es viele weitere solcher Problemstellen. Dazu gehören zum Beispiel die Bruderholz- oder die Innere Margarethenstrasse», so Chrétien. Gefährlich sei die Kombination von Tramschienen und parkierten Autos. «Plötzlich kann eine Tür aufgehen. Als Velofahrer sollte man aus diesem Grund genügend Abstand von einem parkierten Auto halten, das ist neben Schienen jedoch unmöglich.», führt Chrétien weiter aus.Weniger Parkplätze, mehr Platz für VelosWenn es nach Chrétien geht, ist die Lösung simpel: «Keine Parkplätze an Orten, wo Drämmli verkehren und der Platz für eine sichere Veloführung fehlt.» Die Sicherheit gehe vor, «manche sehen aber das Recht auf einen Autoparkplatz als Menschenrecht», so Chrétien, «wenn es nach ihnen ginge, müsste jeder Parkplatz erhalten bleiben.» Es käme hinzu, dass Autos immer breiter und so den Velofahrern noch mehr Platz nehmen würden.Im aktuellen Teilrichtplan Velo des Kantons Basel-Stadt sind für die Austrasse keine Massnahmen vorgesehen. (mhu)"
765acb73-ed52-423d-9ede-75fcc2bc0210,67db3f86-12da-4397-a6e3-68a08dc6adfb,Die systemhure biden gewinnt mit 270 zu 268,Gambler könnte mit Trump-Sieg 15 Millionen Dollar gewinnen,"Ein britischer Geschäftsmann will beim US-Wahlkampf grosse Kasse machen. Der reiche Ex-Banker hat 5 Millionen US-Dollar auf den Sieg von Donald Trump gesetzt – das ist wohl der grösste Einsatz, der jemals für eine politische Wette gemacht wurde, wie die britische Boulevard-Zeitung « Sun » berichtet. Alle Infos zum noch nicht entschiedenen US-Wahlkampf im News-Ticker . Die Quote auf einen Sieg von Trump beträgt 2,85. Der Geschäftsmann könnte also einen riesigen Scheck von fast 15 Millionen Dollar gewinnen. Der Gambler ging die Wette aber nicht ohne Absicherung ein. Er liess sich zuvor von Vertrauten des Trump-Lagers beraten, wie ein Freund der Zeitung sagt.Die Buchmacher sehen Joe Biden als Favoriten. Doch je näher der Wahltag kam, desto mehr Spieler wetteten auf einen Sieg von Trump. Beim Wettanbieter Ladbrokes waren in der letzten Woche 75 Prozent pro Trump, bei Paddy Power setzten in den letzten 24 Stunden vor der Wahl gar 93 Prozent auf den Amtsinhaber.Für die Wettanbieter ausserhalb der USA ist die Präsidentschaftswahl ein riesiges Geschäft. Denn politische Wetten sind in den USA verboten. Die Gambler-Börse Betfair erwartet die grösste Glücksspielveranstaltung (siehe Box) ."
Donated_20Min_None_12741390_1,Donated_20Min_108388,"Und die gleichen Gruppen gehen auf die Strassen und demonstrieren füs \Klima\"". Dann erscheinen Berichte, dass ebendiese \""gut informierten und intelligenten\"" Jungen an Astrologie, Esoterik und Tarot glauben. Mit Betonung auf \""glauben\"". Die machen sich stetig lächerlicher, diese Jungen, die sich als \""unsere Zukunft\"" preisen...""",Kanti-Schüler sollen jetzt mit Toten sprechen,"Den Kontakt ins Jenseits herstellen, um mit Toten zu sprechen oder per Handberührung Informationen über eine Person herausfinden: Das macht Pascal Voggenhuber, 39-jähriger Esoterik-Star aus Basel. Gerne tritt er auch als Referent am Gymnasium Musegg in Luzern auf, wie die «SonntagsZeitung» berichtet. Dieses Jahr war er bereits zum sechsten Mal zu Besuch an der Musegg. «Es ist immer wieder spannend, wie offen Junge Menschen für eine Bodenständige Spiritualität sind», schrieb er zuvor auf einem Facebook-Post, in der er seiner Vorfreude auf den Besuch in Luzern Ausdruck verlieh. Umfrage Glauben Sie, man kann tatsächlich mit Verstorbenen kommunzieren? Zweifellos. Auch, wenn es nicht beweisbar ist. Nein, das glaube ich nicht. Rektorin Franziska Schärer bestätigte den Auftritt des Esoterikers. Er sei im Rahmen der Sonderwoche «Naturwissenschaften und Grenzwissenschaften» eingeladen worden. Gemäss Remo Jakob, Vorstand der Fachschaft Physik an der Kantonsschule, lade Voggenhuber dabei manchmal Schüler ein, unter seiner Anleitung mit Toten zu kommunizieren. Auch versuche Voggenhuber Informationen über einen Schüler herauszufinden: Dies nur durch das Halten seiner Hand. Bei den Aussagen handle es sich beispielsweise um die Wohnverhältnisse des Schülers oder darum, was der Schüler sieht, wenn er aus dem Fenster seines Wohnzimmers schaut. «Oft nennt er viele Details korrekt», sagt Jakob. Nächstes Jahr kommt der Eso-Star wiederRektorin Franziska Schärer sagt, es gehe beim Anlass darum, festzustellen, dass nicht alle Bereiche des Lebens wissenschaftlich erklärt werden können. Voggenhubers Besuch stosse bei Schülern auf grosses Interesse. Man habe ihn deshalb bereits für das nächste Schuljahr wieder eingeladen.«Es braucht eine kritische Einbettung»Für die Sektenberatungsstelle Relinfo ist es okay, wenn Schulen Personen wie den Esoterik-Star einladen würden. Man könne Vertreter spiritistischer Richtungen auftreten lassen, zitiert die Sonntagszeitung Georg Schmid. «Es braucht aber eine kritisch-wissenschaftliche Einbettung. Sonst handelt es sich um esoterische Propaganda.» (jab)"
0f929ff4-2e6b-4c4c-a2a7-c689f4f8b24b,63948a98-e005-4563-a943-2bc12c3adb69,Jawoll schliesst alles. Sperrt alles. Macht Grenzen zu damit die Drecks Scheiss Grenzgänger von Deutschland nicht mehr rein können und uns auch nicht mehr den Job wegnehmen. Jawoll zerstört unsere Wirtschaft. macht eine Mauer wie ehemals die DDR um die Schweiz.,55 Prozent unterstützen Ski-Lockdown,"Mehr als die Hälfte der Schweizerinnen und Schweizer wollen die Skigebiete schliessen, sollte sich die epidemiologische Lage verschlechtern. Das zeigt eine repräsentative Umfrage von 20 Minuten bei 15 089 Teilnehmenden (siehe Box) .Ebenfalls viel Rückhalt geniesst die Forderung nach PCR-Tests bei der Einreise sowie Massentests, wie sie jüngst St. Moritz, wegen einer Häufung an Infektionen mit der britischen Virusvariante, durchgeführt hat. Die bisherigen Massnahmen von Bund und Kantonen zur Bekämpfung des Virus haben indes an Zustimmung verloren. So sagten Mitte Januar 16 Prozent, die Massnahmen gingen viel zu weit. 14 Prozent fanden, sie gingen etwas zu weit. Damit ist der Teil der Massnahmen-Kritiker gewachsen. Ende November erklärten noch 17 Prozent der Befragten, die Corona-Regeln gingen viel zu weit oder etwas zu weit.Derzeit liegen die Bewilligungen für den Skibetrieb bei den Kantonen. Der Kanton Graubünden etwa hat letzte Woche diese bis Ende Februar erteilt. Nach Bildern von langen Warteschlangen kamen Zweifel daran auf, wie sicher der Skibetrieb noch ist. Nationalrat Lorenz Hess (Die Mitte) forderte: «Um wenigstens die spätere Skisaison noch zu retten, sollte sich die Schweiz überlegen, die Skigebiete und die Hotels in den Tourismusorten für mindestens zwei Wochen zu schliessen.»Die Möglichkeiten dazu prüft der Bundesrat. Ein BAG-Sprecher sagt auf Anfrage: «Die Gesamtheit der Massnahmen sind Teil regelmässiger Evaluationen und werden gegebenenfalls angepasst. Der Bundesrat hat mehrere davon den Kantonen in die Vernehmlassung geschickt.»Auch Hess’ Parteikollegin Ruth Humbel hatte «ein ungutes Gefühl», als sie die Bilder sah. Die Präsidentin der Gesundheitskommission des Nationalrats war in dieser Saison schon Ski fahren – aber in einem Skigebiet mit gutem Schutzkonzept, wo man sich vorab anmelden musste und es zu keinen Warteschlangen kam.«Offensichtlich werden die Schutzkonzepte sehr unterschiedlich umgesetzt. Ich erwarte von den Kantonen, dass sie hier nachschärfen und gegebenenfalls Zulassungsbegrenzungen verfügen», sagt Humbel. So könne verhindert werden, dass es an den Liften und in den Gondeln zu Gedränge komme. «Sollte sich die Lage verschlechtern, müssten Schliessungen von Skigebieten im Bundesrat ein Thema werden; ein Szenario, das ich nicht möchte.» Ebenfalls wichtig seien regelmässige Massentests. Und: «Von Touristen aus dem Ausland ist es sinnvoll, bei der Einreise, insbesondere an Flughäfen, einen PCR-Test zu verlangen.»SP-Nationalrätin Yvonne Feri ist skeptisch, ob die Skigebiete die aktuelle Saison noch sicher durchführen können. «Die Virusmutationen bereiten mir Sorgen. Sie können sich auch bei 1,5 Meter Abstand verbreiten. Die Skigebiete müssen deshalb die Schutzkonzepte verschärfen.» Feri rechnet damit, dass mit den anstehenden Schulferien der Betrieb in den Skiferien nochmals deutlich zunimmt: «Abstand und Geduld sind deshalb noch dringender notwendig.» Sie erwartet, dass die Kantone bereits jetzt Massentests vorbereiten, damit sie vorbereitet sind, sollte es zu Ausbrüchen kommen.Die Skigebiete zu schliessen, hält FDP-Chefin Petra Gössi nicht für angebracht: «Die Herausforderung sind die Anreise und das Anstehen bei den Liften. Da müssen die Schutzkonzepte rigoros umgesetzt werden und wenn nötig sollen die Skigebiete die Anzahl der Tickets limitieren.» Massentests und PCR-Tests an den Grenzen brauche es hingegen «unbedingt»: «Jetzt, wo uns ausreichend Tests zur Verfügung stehen, setzt das BAG viel zu wenig daran, dass die Menschen sich grossflächig testen lassen. Auch in den Altersheimen müsste unbedingt mehr getestet werden.» Beim Tourismus-Kanton Graubünden hält man an den geöffneten Skigebieten fest. Die epidemiologische Lage habe sich verbessert, heisst es beim Kanton auf Anfrage. «Sowohl die Fallzahlen wie auch der R-Wert sinken seit Mitte Dezember und das trotz offenen Skigebieten. Skigebiete sind nicht Treiber der Pandemie.»Ein Sprecher betont, dass Skifahren draussen stattfinde. «Es erscheint uns auch für die Bevölkerung wichtig, dass Outdoor-Aktivitäten, die epidemiologisch nicht das Problem sind und auch mit Schutzkonzepten stattfinden, möglich sind.» Die Regierung beurteile die Entwicklung aber laufend.Zudem kündigt der Kanton eine Teststrategie an, die auch asymptomatische Personen identifizieren will. «Es ist weit wirksamer, die asymptomatischen Personen zu finden und zu isolieren als nur Personen zu testen und zu finden, die bereits symptomatisch sind. Die wissenschaftliche Auswertung der Flächentests vom Dezember im Kanton Graubünden zeigen, dass mit Flächentests bzw. dieser Teststrategie weitergehende Einschränkungen wie Lockdowns vermieden werden können.»"
Donated_20Min_None_21990788_1,Donated_20Min_121921,Genau....von welchen Sportarten ist e-sports abgeleitet?,Das sind die bestbezahlten Schweizer Teamsportler,Resultate und Tabellen (erh)
Donated_20Min_None_13872426_1,Donated_20Min_57181,Und warum nimmst du dir dann nicht das Leben und erlöst uns und somit von deinem überflüssigen Dasein?,30 Jahre lang war dieses Tierchen verschwunden,"Fast 30 Jahre lang galt es als verschollen  nun haben Forscher erstmals wieder ein Vietnam-Kantschil in freier Wildbahn gesichtet. Das Huftier aus der Familie der Hirschferkel, das etwa so gross wie ein Hase ist, ist auch als vietnamesischer Maushirsch bekannt. Es wiegt weniger als fünf Kilogramm. Umfrage Gefällt dir das Vietnam-Kantschil? Ja, es ist super süss. Nein, gut gibt es das bei uns nicht. Naja, irgendwie ist es komisch. Nein, gut gibt es das bei uns nicht. Davon berichtet ein Team um Andrew Tilker von der Organisation Global Wildlife Conservation (GWC) in den USA im Fachjournal «Nature Ecology and Evolution». Der letzte bekannte Artgenosse des Tieres sei im Jahr 1990 von einem Jäger erschossen worden. Ein lebendes Exemplar konnte noch nie fotografiert werden. Bestand unbekanntDas Expertenteam war demnach Tipps von Bewohnern in der Nähe der Küstenstadt Nha Trang nachgegangen, die das Tier mit dem silbergrauen Rückenfell gesehen hatten. Innerhalb von sechs Monaten hätten 30 aufgestellte Fotofallen das Vietnam-Kantschil (Tragulus versicolor) dann mehr als 200-mal unabhängig voneinander aufgezeichnet.«Trotz der Hinweise aus der Bevölkerung konnten wir nicht sicher sein, was uns erwartet. Ich war also überrascht und überglücklich, als wir die Bilder der Kamerafallen auswerteten und Fotos von einem Kantschil mit silbernen Flanken sahen», sagt An Nguyen, Associate Conservation Scientist bei der GWC und Leiter dieses Forschungsvorhabens. Wie viele Tiere der Art genau in der Region lebten, sei derzeit nicht bekannt. Das Tier könne wissenschaftlich als wiederentdeckt gelten, schreiben die Experten um Tilker, der derzeit Doktorand am Leibniz-Institut für Zoo- und Wildtierforschung in Berlin ist. Für die Bevölkerung vor Ort sei es allerdings nie verschwunden gewesen.«Die Wiederentdeckung des Vietnam-Kantschils gibt auch uns grosse Hoffnung für den Erhalt der biologischen Vielfalt Vietnams, insbesondere bedrohter Arten», sagt Hoang Minh Duc, Leiter der Abteilung für Zoologie des Southern Institute of Ecology, eines Instituts der Vietnamesischen Akademie der Wissenschaften mit Sitz in Ho-Chi-Minh-Stadt. «Dies ermutigt uns, zusammen mit unseren internationalen Partnern Zeit und Mühe in die weitere Erforschung und den Erhalt des vietnamesischen Biodiversitätserbes zu investieren.» (jcg/sda)"
7e77b9cc-a0d5-4a99-986c-13a16e27f68c,3f241e45-73dc-4bae-801e-3b4c5b607222,Eine Kommentar Funktion die offen ist?? Ein Wunder,Macht Kaugummi-Kauen schön?,"Gekaut haben die Menschen schon immer gern, und so kaute man vor über 9000 Jahren auf Birkenharz herum. Im alten Ägypten kauten vor allem Frauen eine Mischung aus Melone, Weihrauch und Myrrhe, und die Griechen bevorzugten das Harz des Mastixbaumes. Auch die Indianer in Nordamerika kauten gern, am liebsten das Harz von Fichten. Dieses Harz verwendete der erste Kaugummifabrikant John B. Curtis 1848 als Grundstoff für seinen Kaugummi. Seither hat sich die Zusammensetzung des Kaugummis verändert. Heute dienen hauptsächlich synthetische Substanzen als Grundstoff für die Kaumasse. Die Inhaltsstoffe machen den Kaugummi auch in seiner Verwendung vielfältig: weissere Zähne, besserer Atem, weniger Bakterien, Nikotin für den Rauchstopp oder dank speziellen Wirkstoffen keine Reisekrankheit – doch Kaugummi kann noch mehr. Attraktivität steigern Kaum zu glauben, aber Kaugummikauen soll angeblich attraktiver machen. Das hat ein Experiment im Museum of Contemporary Art in Buenos Aires, Argentinien, gezeigt. Besucherinnen und Besucher beurteilten Zwillingspaare nach Attraktivität und Sympathie. Das Ergebnis: 73 Prozent fanden den Kaugummi kauenden Zwilling attraktiver. Vor Flugzeugabsturz bewahren Mitten über dem Atlantik entdeckte 1944 die Besatzung eines britischen Flugzeugs nach einem Gefecht mit einem U-Boot ein Leck in einer Leitung. Sofort griff die Crew zum Kaugummi und kaute diesen gut durch, um das Loch damit zu verstopfen – und sicher zu landen. Stress abbauen Der Psychologe Andrew Paul Smith von der britischen Universität Cardiff kam in einer Studie zum Ergebnis, dass, wer Kaugummi kaut, nicht nur einen niedrigeren Stresspegel aufweist, sondern auch seltener depressiv ist. Und sogar der Blutdruck sowie der Cholesterinspiegel werden durchs Kauen gesenkt. Was man aber dazu auch wissen muss: Die Studie wurde von einem Kaugummihersteller finanziert. Öffentlichen Raum gestalten Auf den Boden oder in den Papierkorb? Nein. In der amerikanischen Stadt Seattle gibt es eine Gasse, in der man den gekauten Kaugummi an die Wand klebt. «Gum Wall» heisst sie, und wer seinen Kaugummi hinklebt, kann sich gleichzeitig was wünschen. Ob die Wünsche in Erfüllung gehen, ist allerdings nicht bekannt. Konzentration verbessern Forscher haben herausgefunden, dass Kaubewegungen die Blut- und Sauerstoffzufuhr zum Gehirn um bis zu 25 Prozent erhöhen. Die bessere Durchblutung im Gehirn wirkt sich positiv auf die Konzentrationsfähigkeit und die Gedächtnisleistung aus. Plombe ersetzen Meist passiert es dann, wenn weit und breit kein Zahnarzt im Einsatz ist, nämlich in den Ferien oder am Wochenende: Eine Plombe fällt raus beziehungsweise bleibt im Läckerli oder im türkischen Honig hängen. Was tun? Das Loch lässt sich notfallmässig mit einem Kaugummi zustopfen, um Schmerzen durch Zugluft zu vermindern."
Donated_20Min_None_29997263_1,Donated_20Min_41887,Ein tanzender teletubby als topkommentar zu einem politischen thread sagt schon alles über 20 minuten aus,«Die Mitte-Fraktion»: BDP schliesst sich der CVP-Fraktion an,"Die CVP, die BDP und die EVP wollen in der kommenden Legislatur eine gemeinsame Mitte-Fraktion bilden. Diese werde sich für tragfähige Lösungen stark machen, schreibt die CVP in einer Mitteilung vom Freitag.Wie viele Parlamentarierinnen und Parlamentarier die neue Fraktion mit dem Namen «Die Mitte-Fraktion. CVP-EVP-BDP» genau zählt, wird erst nach dem 24. November klar sein  nach den zweiten Wahlgängen für die Ständeratswahlen.Im Nationalrat sind es 25 Mitglieder der CVP sowie je drei Mitglieder der EVP und der BDP  insgesamt also 31. Damit wird die Mitte-Fraktion nach der SVP- und der SP-Fraktion in der grossen Kammer die drittstärkste Kraft sein. Die Grünen hatten in den Wahlen vom 20. Oktober die CVP überholt. Sie haben künftig 28 Sitze.Keine Fraktionsstärke mehrDie EVP hatte schon in der letzten Legislatur der CVP-Fraktion angehört. Die BDP bildete dagegen eine eigene Fraktion. Nach dem Verlust von vier Sitzen hat die BDP nun aber keine Fraktionsstärke mehr. Für eine eigene Fraktion braucht es mindestens fünf Mitglieder.Die BDP hätte auch gemeinsam mit der EVP eine Fraktion bilden oder sich an jene der GLP anschliessen können. Nun schliesst sie sich jedoch der CVP an.Formelle Zustimmung ausstehendDie aktuelle CVP-Fraktion muss der Vereinbarung noch formell zustimmen. Dieser Schritt werde voraussichtlich am 22. November erfolgen, heisst es in der Mitteilung.Ausserdem muss die Koordinationskonferenz  die Büros von National- und Ständerat  die Fraktionen noch genehmigen. Am 25. November werden die definitive Sitzverteilung sowie die neuen Fraktionen und deren Anspruch auf Kommissionssitze bekannt gegeben.Pragmatischer KonsensDie CVP schreibt, die Mitte-Fraktion stehe für ein politisches Klima des Diskurses, engagierter Diskussionen und für pragmatischen Konsens. Das sei der Weg, um konstruktive Lösungen zu entwickeln. Die neue starke Mitte-Fraktion ermögliche es, diese Art der Politik wieder mehrheitsfähig und somit realisierbar zu machen.«Wir haben genug von der Blockadehaltung von Links und Rechts, genug von Stillstand statt Fortschritt, genug von gegeneinander statt miteinander», heisst es in der Mitteilung. Neben der BDP-Delegation müssen sich weitere gewählte Nationalrätinnen und Nationalräte von Kleinparteien eine Fraktion suchen - wenn sie einer angehören wollen. Verbunden ist dies mit der Chance auf einen Kommissionssitz.Einmal Ja und einmal Nein für 9. FebruarDie CVP hat am Samstag zudem die Parole gefasst zur Volksinitiative «Mehr bezahlbare Wohnungen» des Mieterinnen- und Mieterverbands. Die Delegierten lehnten die Initiative klar ab: mit 117 Nein- zu 29 Ja-Stimmen bei 4 Enthaltungen. Die Mehrheit der Delegierten war somit gleicher Meinung wie die Parteispitze, welche ins Feld führte, die Initiative sehe allzu starke Eingriffe des Staats in den Wohnungsmarkt vor. Die Initiative kommt am 9. Februar an die Urne.Klar Ja sagt die CVP Schweiz zur Ausweitung der Anti-Rassismus-Strafnorm. Diese Norm soll so ausgeweitet werden, dass künftig auch Aufrufe zu Hass und Diskriminierung aufgrund sexueller Orientierung strafbar sind. Auch diese Vorlage kommt am 9. Februar vors Volk. Mit 125 zu 18 Stimmen bei 8 Enthaltungen fassten die Delegierten die Ja-Parole. Anders als das die Gegner behaupteten, gebe es nach einem Ja zur Ausweitung der Strafnorm keine unverhältnismässige Einschränkung der Gewissensfreiheit, sagt die CVP-Parteispitze. (sda)"
Donated_20Min_None_13856619_1,Donated_20Min_37815,"Ach und alles was schlecht ist kommt aus Deutschland? \ Ehrlich mit dieser Einstellung bzw Meinung outest du dich als absolut \nicht Intelligent\""""""""""""""""",3 Triebwerk-Teile des Swiss-Airbus gefunden,"Am Mittwoch wurden drei Teile der A220-300-Maschine der Swiss in einem Wald bei Yonne, etwa 160 Kilometer südöstlich von Paris gefunden. Das französische Untersuchungs- und Analysebüro für die Sicherheit der zivilen Luftfahrt (BEA) stufte den Vorfall als «gravierend» ein. Umfrage Leiden Sie unter Flugangst? Nein, so ein Fenster könnte mich also auch nicht verunsichern. Ja, ich will kein abfallendes Fenster im Flug sehen. Keine Ahnung, ich fliege nie. Der Flug war am 25. Juli in Genf Richtung London gestartet. Als das Flugzeug auf 10'000 Metern Höhe über Frankreich flog, hörten Passagiere einen Knall und sahen Flammen aus einem Triebwerk schiessen. Kurz danach landete die Maschine auf dem Pariser Flughafen Charles de Gaulle.Rotor noch vermisstLaut der BEA sei mit dem Fund der Teile bei der Region Yonne «das Untersuchungsgebiet bestätigt». Rund 200 Freiwillige hatten bei der Suche nach Fragmenten des Airbus teilgenommen. Am Donnerstag und Freitag soll die Suche weitergehen, wie 20 Minutes berichtet. Die Ermittler vermissen noch einen Rotor des Titan-Flugzeugtriebwerks mit circa 70 Zentimetern Durchmesser.🔎 Incident grave de l #A220 HB-JCM du 25/07/19 / les recherches de pièces tombées au sol sont en cours sur les communes de #Cry #Rougemont #Perrigny. 40 agents 85 agents & 65 bénévoles mobilisés. pic.twitter.com/8h9EXTTCEG BEA ✈️ 🚁🛩 🇫🇷 ( November 6, 2019 (kat)"
69ca2aec-fc7d-4b99-9219-f360304944cc,64e24085-cfa2-4897-81d7-6357ead1f347,"will, wollen, so so !",Spirig will in Tokio ihre dritte Olympiamedaille,"2004 in Athen war ihre olympische Premiere, 2021 wird Nicola Spirigs Derniere an den Spielen sein. Die Corona-Pandemie hat (wie bei allen Athleten) die ursprünglichen Pläne durchkreuzt, die Verschiebung von Olympia in Tokio ins kommende Jahr sieht Spirig jedoch als Vorteil: «Die Vorbereitung nach der Geburt von Alexis 2019 bis in diesem Sommer wäre eng gewesen. So habe ich nun ein Jahr mehr Zeit, und vor allem bin ich frei, welche Wettkämpfe ich bis dahin bestreite», sagt sie. Spirig ist für Tokio qualifiziert, sie brauche noch ein paar Punkte, um dies «ganz ganz sicherzustellen».Für den Entschluss, fünfte Spiele und nach Gold (2012 in London) und Silber (2016 in Rio) eine dritte Medaille anzustreben, waren drei Fragen und Antworten ausschlaggebend: «Bin ich motiviert genug, und habe ich noch genügend Energie, auch im Winter, wenn es nicht mehr so angenehm ist? Was heisst das für die Familie, für Ehemann Reto und die drei Kinder? Und: Kann das Team mit Trainer Brett Sutton, der mich seit 15 Jahren trainiert, zusammenbleiben?»Spirig hat sich nach der Verschiebung der Spiele Zeit nehmen wollen, um mit allen Betroffenen Gespräche zu führen. «Ich war sehr berührt und überrascht, wie positiv diese ausfielen, wie motiviert alle waren», sagt sie. Sutton, der eigentlich am Tag nach ihrem Olympiasieg in London vor acht Jahren hatte zurücktreten wollen, kommentierte den Entscheid so: «Sie hält mich noch immer davon ab. Für die Schweiz ist ihr Weitermachen eine sehr gute Nachricht, für mich weniger.» Das sagte er lachend, denn er fügte noch an: «Ich hatte viele grosse Athleten, sie aber ist einzigartig.»Spirig wird das Corona-bedingte Zusatzjahr nutzen, um weitere Fortschritte auf dem Rad zu machen – «ich werde nicht mit den Schnellsten aus dem Wasser steigen, deshalb muss ich nachher die Lücke schliessen und die Gegnerinnen wenn möglich sogar müde fahren können». Sie hat in den vergangenen Monaten auch eine Entzündung am Hüftbeuger auskurieren können, «das wäre mit dem herkömmlichen Fahrplan schwierig geworden», glaubt sie. Nach Möglichkeit wird sie in den nächsten Wochen auch an den ersten Leichtathletikmeetings teilnehmen, geplant ist so am 20. Juni ein Start über 3000 m in Meilen."
